intent,student,response,valued,language,knowledge,language,action,understanding,responseType
210,Chris,"I recently read, The Chronicles of Narnia, to my younger sister. The book made me think about wrong and right, and nature, too.",3,2,3,2,Talk,,Tell
210,Chris,My dad and I just got into the Harry Potter books. We're kind of late to the party!,3,2,1,2,Talk,,Tell
210,Chris,"We watched, Charlotte's Web, that is a book. It's a made-up story about friendships.",3,2,3,3,Talk,,Tell
210,Farrah,I've been reading A Wrinkle in Time. I thought they did a pretty good job with the movie.,2,2,2,1,Talk,,Tell
210,Farrah,"I like the magic in The Lion, the Witch and the Wardrobe, by C.S. Lewis.",2,1,1,0,Talk,,Tell
210,Farrah,I think the Diary of a Wimpy Kid is so funny.,2,1,1,1,Talk,,Tell
210,Jazmin,I like to read National Geographic Kids. They have some great articles about how we can take care of our planet and what animals are endangered because people are destroying their habitats.,2,3,3,2,Talk,,Tell
210,Jazmin,"I like adventures to different times and places, like the Magic Tree House series.",2,2,2,2,Talk,,Tell
210,Jazmin,I love stories of real people and things that happened.,2,2,3,2,Talk,,Tell
210,Luis,I read the cafeteria menu everyday. I'm always waiting for them to bring the chicken sandwich back.,1,1,2,2,Talk,,Tell
210,Luis,I like to read signs on the street. It lets me know what's happening. I read about a lost dog this morning that I am going to watch out for.,1,3,3,3,Talk,,Tell
210,Luis,"I like to read manuals and then match them up to the youtube video, if I can.",1,3,2,3,Talk,,Tell
210,Oliver,"I like the Percy Jackson books, but not the graphic novels. You can't really use your imagination when they give you all the pictures, especially when it's not like how I imagined it when I was reading the books.",2,3,3,3,Talk,,Tell
210,Oliver,I've been enjoying the The Chronicles of Narnia series. Who wouldn't like to live in a world full of talking animals?,2,2,2,1,Talk,,Tell
210,Oliver,I like the Series of Unfortunate Events books because of the mystery.,2,3,2,2,Talk,,Tell
210,Sharleen,Oh I can answer that easily. I love the Vampire Diaries because it's so romantic.,2,2,1,2,Talk,,Tell
210,Sharleen,I read the whole Percy Jackson and the Olympians series.,2,1,1,1,Talk,,Tell
210,Sharleen,I love Harry Potter because of the magic and the way the friends take care of each other!,2,2,1,3,Talk,,Tell
210,Chris,I like both fiction and non-fiction.,2,1,1,2,Talk,,Prefer
210,Chris,I like both but I think fiction is a little more interesting.,2,2,2,1,Talk,,Prefer
210,Farrah,I don't like non-fiction much,2,1,1,1,Talk,,Prefer
210,Farrah,"For me, I like fiction.",2,1,1,1,Talk,,Prefer
210,Jazmin,I like non-fiction just fine!,2,1,1,1,Talk,,Prefer
